service_code,rate_zone_code,from_weight_grams,to_weight_grams,price_minor,additional_step_grams,additional_price_minor,source_sheet,source_cell
DOMESTIC_SAVER,21,19001,20001,8760600,,,Domestic saver,L56
DOMESTIC_SAVER,20,19001,20001,15274400,,,Domestic saver,M56
DOMESTIC_SAVER,23,20001,21001,7262500,,,Domestic saver,J57
DOMESTIC_SAVER,22,20001,21001,8600400,,,Domestic saver,K57
DOMESTIC_SAVER,21,20001,21001,9101500,,,Domestic saver,L57
DOMESTIC_SAVER,20,20001,21001,15917000,,,Domestic saver,M57
DOMESTIC_SAVER,23,21001,22001,7588000,,,Domestic saver,J58
DOMESTIC_SAVER,22,21001,22001,8944400,,,Domestic saver,K58
DOMESTIC_SAVER,21,21001,22001,9443500,,,Domestic saver,L58
DOMESTIC_SAVER,20,21001,22001,16560200,,,Domestic saver,M58
DOMESTIC_SAVER,23,22001,23001,7915300,,,Domestic saver,J59
DOMESTIC_SAVER,22,22001,23001,9289700,,,Domestic saver,K59
DOMESTIC_SAVER,21,22001,23001,9784500,,,Domestic saver,L59
DOMESTIC_SAVER,20,22001,23001,17204400,,,Domestic saver,M59
DOMESTIC_SAVER,23,23001,24001,8241100,,,Domestic saver,J60
DOMESTIC_SAVER,22,23001,24001,9635100,,,Domestic saver,K60
DOMESTIC_SAVER,21,23001,24001,10126300,,,Domestic saver,L60
DOMESTIC_SAVER,20,23001,24001,17848400,,,Domestic saver,M60
DOMESTIC_SAVER,23,24001,25001,8566600,,,Domestic saver,J61
DOMESTIC_SAVER,22,24001,25001,9979100,,,Domestic saver,K61
DOMESTIC_SAVER,21,24001,25001,10468300,,,Domestic saver,L61
DOMESTIC_SAVER,20,24001,25001,18489900,,,Domestic saver,M61
DOMESTIC_SAVER,23,25001,26001,8893600,,,Domestic saver,J62
DOMESTIC_SAVER,22,25001,26001,10325200,,,Domestic saver,K62
DOMESTIC_SAVER,21,25001,26001,10808600,,,Domestic saver,L62
DOMESTIC_SAVER,20,25001,26001,19134800,,,Domestic saver,M62
DOMESTIC_SAVER,23,26001,27001,9218900,,,Domestic saver,J63
DOMESTIC_SAVER,22,26001,27001,10669400,,,Domestic saver,K63
