source_row_id,state_code,city_name,normalized_city_name,centre_area,rate_zone_code,surcharge_code,surcharge_type,surcharge_amount_minor
1350,AN,Agwokwa,AGWOKWA,ONTISHA,21,524,E,500000
1226,AN,AJALLI,AJALLI,ONITSHA,21,629,R,700000
1145,AN,AKILI OGIDI,AKILIOGIDI,ONITSHA,21,524,E,500000
1227,AN,AKPO,AKPO,ONITSHA,21,629,R,700000
1228,AN,AKUORA UMOTA,AKUORAUMOTA,ONITSHA,21,629,R,700000
1146,AN,AKWAEZE,AKWAEZE,ONITSHA,21,524,E,500000
1229,AN,AKWAIHEDI,AKWAIHEDI,ONITSHA,21,629,R,700000
1351,AN,Akwukwo Igbo,AKWUKWOIGBO,ONTISHA,21,524,E,500000
1352,AN,AKWUKWU-IGBO,AKWUKWUIGBO,ONTISHA,21,524,E,500000
1230,AN,ALOR,ALOR,ONITSHA,21,629,R,700000
1147,AN,AMADUNNU,AMADUNNU,ONITSHA,21,524,E,500000
1231,AN,AMADUNU,AMADUNU,ONITSHA,21,629,R,700000
1232,AN,AMAESI,AMAESI,ONITSHA,21,629,R,700000
1148,AN,AMANSEA,AMANSEA,ONITSHA,21,524,E,500000
1233,AN,AMANUKE,AMANUKE,ONITSHA,21,629,R,700000
1353,AN,Amarobia,AMAROBIA,ONTISHA,21,524,E,500000
1354,AN,AMAWBIA,AMAWBIA,ONTISHA,21,524,E,500000
1234,AN,AMICHI,AMICHI,ONITSHA,21,629,R,700000
1149,AN,AMIKWO,AMIKWO,ONITSHA,21,524,E,500000
1235,AN,AMORKA,AMORKA,ONITSHA,21,629,R,700000
1236,AN,AMORKA TOWN,AMORKATOWN,ONITSHA,21,629,R,700000
1237,AN,AMUOKA,AMUOKA,ONITSHA,21,629,R,700000
1238,AN,ANAM,ANAM,ONITSHA,21,629,R,700000
1150,AN,ANWBIA,ANWBIA,ONITSHA,21,524,E,500000
1239,AN,ATANI,ATANI,ONITSHA,21,629,R,700000
1240,AN,AWGBU,AWGBU,ONITSHA,21,629,R,700000
1151,AN,AWKA ETITI,AWKAETITI,ONITSHA,21,524,E,500000
1241,AN,AWKA - NORTH,AWKANORTH,ONITSHA,21,629,R,700000
1242,AN,AWKUZU,AWKUZU,ONITSHA,21,629,R,700000
1243,AN,AWUDA,AWUDA,ONITSHA,21,629,R,700000
1244,AN,AYAMMELUM,AYAMMELUM,ONITSHA,21,629,R,700000
1245,AN,AZIA,AZIA,ONITSHA,21,629,R,700000
1246,AN,EBENATO -AMAEFALA,EBENATOAMAEFALA,ONITSHA,21,629,R,700000
1152,AN,EBENEBE,EBENEBE,ONITSHA,21,524,E,500000
1153,AN,EKUSIGO,EKUSIGO,ONITSHA,21,524,E,500000
1154,AN,EKWULOBIA,EKWULOBIA,ONITSHA,21,524,E,500000
1247,AN,EKWULUMIBI,EKWULUMIBI,ONITSHA,21,629,R,700000
1155,AN,EKWUSIGO,EKWUSIGO,ONITSHA,21,524,E,500000
1248,AN,ENEKWASUMP,ENEKWASUMP,ONITSHA,21,629,R,700000
1249,AN,ENEKWESUMP,ENEKWESUMP,ONITSHA,21,629,R,700000
1250,AN,ENUGU - ABOH,ENUGUABOH,ONITSHA,21,629,R,700000
1251,AN,ENUGU-ADAZI,ENUGUADAZI,ONITSHA,21,629,R,700000
1156,AN,ENUGU - AGIDI,ENUGUAGIDI,ONITSHA,21,524,E,500000
1252,AN,ENUGWU NANKA,ENUGWUNANKA,ONITSHA,21,629,R,700000
1157,AN,ENUGWU UKWU,ENUGWUUKWU,ONITSHA,21,524,E,500000
1253,AN,ETTE,ETTE,ONITSHA,21,629,R,700000
1158,AN,EZEOWLLE,EZEOWLLE,ONITSHA,21,524,E,500000
1159,AN,EZI-ABBA,EZIABBA,ONITSHA,21,524,E,500000
1254,AN,EZIAGU TOWN,EZIAGUTOWN,ONITSHA,21,629,R,700000
1255,AN,EZIEBENEBE,EZIEBENEBE,ONITSHA,21,629,R,700000
1256,AN,EZINANO,EZINANO,ONITSHA,21,629,R,700000
1257,AN,EZINIFITE,EZINIFITE,ONITSHA,21,629,R,700000
1160,AN,GIRLS SEC. SCH OZUBULU,GIRLSSECSCHOZUBULU,ONITSHA,21,524,E,500000
1161,AN,IBUSA,IBUSA,ONITSHA,21,524,E,500000
1258,AN,ICHI,ICHI,ONITSHA,21,629,R,700000
1162,AN,ICHIDA,ICHIDA,ONITSHA,21,524,E,500000
1259,AN,IFITE -ANI,IFITEANI,ONITSHA,21,629,R,700000
1164,AN,IFITE-DUNU,IFITEDUNU,ONITSHA,21,524,E,500000
1163,AN,IFITE ORAIFITE,IFITEORAIFITE,ONITSHA,21,524,E,500000
1261,AN,IFITE-UKPO,IFITEUKPO,ONITSHA,21,629,R,700000
1260,AN,IFITE VILLAGE,IFITEVILLAGE,ONITSHA,21,629,R,700000
1165,AN,IGBAKWU,IGBAKWU,ONITSHA,21,524,E,500000
1166,AN,IGBARIAM,IGBARIAM,ONITSHA,21,524,E,500000
1167,AN,IGBOUKWU,IGBOUKWU,ONITSHA,21,524,E,500000
1168,AN,IHEMBOSI,IHEMBOSI,ONITSHA,21,524,E,500000
1169,AN,IHIALA,IHIALA,ONITSHA,21,524,E,500000
1262,AN,IHITTE,IHITTE,ONITSHA,21,629,R,700000
1170,AN,ILAH,ILAH,ONITSHA,21,524,E,500000
1355,AN,ILLAH,ILLAH,ONTISHA,21,524,E,500000
1171,AN,IREFI-ORAIFITE,IREFIORAIFITE,ONITSHA,21,524,E,500000
1263,AN,ISSELE UKU,ISSELEUKU,ONITSHA,21,629,R,700000
1172,AN,ISUANIOCHA,ISUANIOCHA,ONITSHA,21,524,E,500000
1173,AN,ISUGWU OROFIA,ISUGWUOROFIA,ONITSHA,21,524,E,500000
1264,AN,ISULO,ISULO,ONITSHA,21,629,R,700000
1265,AN,ISUOFIA,ISUOFIA,ONITSHA,21,629,R,700000
1174,AN,MAKUM,MAKUM,ONITSHA,21,524,E,500000
